Day of the Week;Product 1;Product 2;Product 3;Product 4;Time of the day
Monday;Bread;Orange;Beef;Butter;Evening
Tuesday;Pasta;Apple;Chicken;Cheese;Morning
Wednesday;Rice;Apple;Chicken;Cheese;Afternoon
Thursday;Bread;Orange;Beef;Egg;Morning
Friday;Pasta;Apple;Fish;Egg;Evening
Saturday;Rice;Orange;Fish;Egg;Evening
Sunday;Bread;Orange;Beef;Butter;Evening
Monday;Bread;Grapes;Beef;Cheese;Evening
Tuesday;Bread;Apple;Chicken;Milk;Afternoon
Wednesday;Bread;Orange;Beef;Egg;Morning
Thursday;Bread;Apple;Fish;Butter;Evening
Friday;Potato;Apple;Fish;Butter;Evening
Saturday;Potato;Orange;Chicken;Cheese;Morning
Sunday;Potato;Orange;Chicken;Milk;Afternoon
Monday;Bread;Apple;Chicken;Cheese;Evening
Tuesday;Pasta;Blueberry;Chicken;Cheese;Afternoon
Wednesday;Rice;Orange;Fish;Cheese;Afternoon
Thursday;Potato;Orange;Beef;Milk;Afternoon
Friday;Pasta;Apple;Beef;Milk;Evening
Saturday;Rice;Apple;Chicken;Cheese;Afternoon
Sunday;Pasta;Apple;Beef;Butter;Evening
Monday;Bread;Apple;Fish;Cheese;Morning
Tuesday;Pasta;Grapes;Chicken;Cheese;Evening
Wednesday;Bread;Grapes;Fish;Egg;Evening
Thursday;Bread;Apple;Fish;Butter;Evening
Friday;Bread;Apple;Chicken;Cheese;Evening
Saturday;Pasta;Blueberry;Chicken;Cheese;Evening
Sunday;Bread;Orange;Chicken;Butter;Evening
Monday;Potato;Apple;Chicken;Butter;Evening
Tuesday;Bread;Apple;Beef;Egg;Evening
Wednesday;Rice;Apple;Chicken;Egg;Evening
Thursday;Rice;Banana;Fish;Cheese;Evening
Friday;Bread;Banana;Fish;Cheese;Evening
Saturday;Pasta;Orange;Fish;Cheese;Evening
Sunday;Potato;Orange;Chicken;Egg;Afternoon
Monday;Bread;Orange;Chicken;Egg;Evening
Tuesday;Bread;Apple;Beef;Cheese;Evening
Wednesday;Pasta;Orange;Chicken;Egg;Afternoon
Thursday;Bread;Apple;Fish;Butter;Evening
Friday;Potato;Banana;Beef;Milk;Afternoon
Saturday;Pasta;Apple;Chicken;Cheese;Evening
Sunday;Bread;Apple;Chicken;Milk;Evening
Monday;Pasta;Apple;Beef;Milk;Evening
Tuesday;Pasta;Apple;Fish;Milk;Evening
Wednesday;Bread;Orange;Fish;Cheese;Evening
Thursday;Rice;Banana;Beef;Cheese;Afternoon
Friday;Pasta;Orange;Beef;Cheese;Evening
Saturday;Bread;Apple;Chicken;Egg;Evening
Sunday;Potato;Banana;Chicken;Egg;Evening
Monday;Pasta;Apple;Fish;Egg;Afternoon
Tuesday;Pasta;Apple;Beef;Cheese;Morning
Wednesday;Potato;Grapes;Chicken;Egg;Afternoon
Thursday;Pasta;Banana;Chicken;Milk;Morning
Friday;Bread;Apple;Fish;Egg;Morning
Saturday;Potato;Orange;Beef;Cheese;Evening
Sunday;Bread;Orange;Fish;Milk;Afternoon
Monday;Bread;Grapes;Beef;Egg;Afternoon
Tuesday;Potato;Orange;Chicken;Egg;Evening
Wednesday;Bread;Blueberry;Fish;Cheese;Morning
Thursday;Bread;Apple;Chicken;Cheese;Evening
Friday;Rice;Blueberry;Beef;Egg;Evening
Saturday;Bread;Apple;Beef;Butter;Evening
Sunday;Pasta;Apple;Chicken;Egg;Evening
Monday;Rice;Blueberry;Chicken;Butter;Evening
Tuesday;Rice;Apple;Chicken;Butter;Afternoon
Wednesday;Bread;Apple;Fish;Egg;Evening
Thursday;Bread;Orange;Chicken;Milk;Evening
Friday;Bread;Apple;Chicken;Egg;Evening
Saturday;Bread;Grapes;Beef;Cheese;Evening
Sunday;Bread;Apple;Chicken;Butter;Morning
Monday;Pasta;Apple;Chicken;Milk;Afternoon
Tuesday;Rice;Orange;Fish;Milk;Evening
Wednesday;Bread;Blueberry;Beef;Egg;Evening
Thursday;Rice;Apple;Chicken;Milk;Evening
Friday;Bread;Apple;Chicken;Cheese;Afternoon
Saturday;Pasta;Orange;Chicken;Cheese;Morning
Sunday;Bread;Banana;Chicken;Cheese;Evening
Monday;Bread;Grapes;Fish;Cheese;Evening
